# Translations for Path of Exile 1.
# The first line defines the order of languages. Every line after contains a translation.
# Append ".png" to the English name to resolve the image name. Language names resolve to flag icons the same way.
English, French, German, Japanese, Portuguese, Russian, Spanish, Thai, Tag
Anarchy Scarab of Gigantification, Scarabée d'Anarchie du Gigantisme, Anarchie-Skarabäus der Gigantifizierung, 巨大化のアナーキースカラベ, Escaravelho da Anarquia da Gigantificação, Скарабей Анархии исполинства, Escarabajo de anarquía de gigantificación, สคารับเอ็กไซล์อันธพาล แห่งความมหึมา, anarchy-scarab-of-gigantification
Essence Scarab of Calcification, Scarabée d'Essence de la Calcification, Essenz-Skarabäus der Verkalkung, 硬化のエッセンススカラベ, Escaravelho da Essência da Calcificação, Скарабей Сущности окостенения, Escarabajo de esencia de calcificación, สคารับเอสเซนส์ แห่งการเกิดผลึก, essence-scarab-of-calcification
Deft Fossil, Fossile léger, Gewandtes Fossil, 巧みな化石, Fóssil Hábil, Проворное ископаемое, Fósil hábil, Deft Fossil, deft-fossil
Screaming Essence of Woe, Essence hurlante d'Affliction, Schreiende Essenz des Kummers, 叫びのエッセンス（悲痛）, Essência da Angústia Gritante, Кричащая сущность скорби, Esencia berreante de aflicción, Screaming Essence of Woe, screaming-essence-of-woe
Omen of Death's Door, Présage de la porte de la mort, Omen der Schwelle des Todes, 死の扉のお告げ, Presságio da Quase Morte, Предсказание Врат Смерти, Augurio de puerta de la muerte, ลางบอกเหตุใกล้สิ้นลม, omen-of-deaths-door
Exceptional Eldritch Ember, Braise surnaturelle exceptionnelle, Bedeutende übernatürliche Glut, エルドリッチエンバー（希少）, Brasa Ancestral Excepcional, Превосходный древний уголёк, Brasa sobrenatural excepcional, เถ้าถ่านผิดธรรมชาติชั้นยอด, exceptional-eldritch-ember
Sacrifice at Midnight, Sacrifice de minuit, Opfergabe bei Mitternacht, 正子の生贄, Sacrifício à Meia-Noite, Жертва в полночь, Sacrificio a medianoche, สังเวยย่ำสองยาม, mid
Deafening Essence of Spite, Essence assourdissante d'Acrimonie, Ohrenbetäubende Essenz der Bosheit, 慟哭のエッセンス（悪意）, Essência do Rancor Ensurdecedora, Оглушающая сущность неприязни, Esencia ensordecedora de rencor, Deafening Essence of Spite, deafening-essence-of-spite
Deafening Essence of Wrath, Essence assourdissante de Fureur, Ohrenbetäubende Essenz des Zorns, 慟哭のエッセンス（憤怒）, Essência da Ira Ensurdecedora, Оглушающая сущность гнева, Esencia ensordecedora de ira, Deafening Essence of Wrath, deafening-essence-of-wrath
Amber Oil, Huile ambrée, Bernsteinfarbenes Öl, 琥珀色のオイル, Óleo Âmbar, Янтарное масло, Aceite ámbar, Amber Oil, amber-oil
Screaming Essence of Suffering, Essence hurlante de Souffrance, Schreiende Essenz des Leids, 叫びのエッセンス（苦痛）, Essência do Sofrimento Gritante, Кричащая сущность страдания, Esencia berreante de sufrimiento, Screaming Essence of Suffering, screaming-essence-of-suffering
Wailing Essence of Rage, Essence gémissante de Rage, Klagende Essenz der Rage, 呻きのエッセンス（激怒）, Essência da Raiva Lamentante, Вопящая сущность ярости, Esencia lamentosa de furia, Wailing Essence of Rage, wailing-essence-of-rage
Deafening Essence of Anger, Essence assourdissante de Colère, Ohrenbetäubende Essenz der Wut, 慟哭のエッセンス（怒り）, Essência da Cólera Ensurdecedora, Оглушающая сущность злобы, Esencia ensordecedora de rabia, Deafening Essence of Anger, deafening-essence-of-anger
Essence of Hysteria, Essence d'Hystérie, Essenz der Hysterie, ヒステリーのエッセンス, Essência da Histeria, Сущность истерии, Esencia de histeria, Essence of Hysteria, essence-of-hysteria
Deafening Essence of Suffering, Essence assourdissante de Souffrance, Ohrenbetäubende Essenz des Leids, 慟哭のエッセンス（苦痛）, Essência do Sofrimento Ensurdecedora, Оглушающая сущность страдания, Esencia ensordecedora de sufrimiento, Deafening Essence of Suffering, deafening-essence-of-suffering
Shrieking Essence of Hatred, Essence stridente de Haine, Kreischende Essenz des Hasses, 喚きのエッセンス（憎悪）, Essência do Ódio Berrante, Визжащая сущность ненависти, Esencia chillante de odio, Shrieking Essence of Hatred, shrieking-essence-of-hatred
Unrelenting Timeless Eternal Emblem, Emblème perpétuel de l'Empire éternel, Unerbittliches immerwährendes Emblem des Ewigen Kaiserreichs, とどまることのない時知らずのエターナルの徽章, Emblema Atemporal Eterno Implacável, Непримиримый вневременной знак Вечных, Emblema atemporal implacable eterno, ตราสัญลักษณ์นิรันดร์เหนือกาลเวลาไม่รู้สิ้น, uber-timeless-eternal-emblem
Sulphite Scarab of Greed, Scarabée de Sulfite de l'Avarice, Sulfit-Skarabäus der Gier, 欲望のサルファイトスカラベ, Escaravelho de Sulfito da Ganância, Сульфитовый скарабей алчности, Escarabajo de sulfito de codicia, สคารับซัลไฟต์ แห่งความโลภ, sulphite-scarab-of-greed
Accelerating Catalyst, Catalyseur accélérant, Beschleunigender Katalysator, 加速のカタリスト, Catalisador Acelerante, Ускоряющий катализатор, Catalizador acelerador, Accelerating Catalyst, accelerating-catalyst
Shrieking Essence of Anger, Essence stridente de Colère, Kreischende Essenz der Wut, 喚きのエッセンス（怒り）, Essência da Cólera Berrante, Визжащая сущность злобы, Esencia chillante de rabia, Shrieking Essence of Anger, shrieking-essence-of-anger
Titanic Scarab of Legend, Scarabée titanesque de la Légende, Titanischer Skarabäus der Legenden, 伝説のタイタンのスカラベ, Escaravelho Titânico da Lenda, Титанический скарабей легенды, Escarabajo titánico de leyenda, สคารับมหึมา แห่งตำนาน, titanic-scarab-of-legend
Blazing Fragment, Fragment brûlant, Brennendes Fragment, 焔光の断片, Fragmento Escaldante, Пылающий фрагмент, Fragmento ardiente, ชิ้นส่วนลุกโชน, blazing-fragment
Tul's Flawless Breachstone, Pierre de Brèche parfaite  de Tul, Tuls makelloser Riss-Stein, トゥルの極限ブリーチストーン, Pedra de Fenda Impecável de Tul, Безупречный камень Разлома Тул, Piedra de fisura perfecta de Tul, ศิลาบรีชไร้ที่ติแห่งทุล, tuls-flawless-breachstone
Screaming Essence of Doubt, Essence hurlante d'Incertitude, Schreiende Essenz des Zweifels, 叫びのエッセンス（疑心）, Essência da Hesitação Gritante, Кричащая сущность сомнения, Esencia berreante de duda, Screaming Essence of Doubt, screaming-essence-of-doubt
Celestial Armoursmith's Incubator, Incubateur de l'armurier céleste, Himmlischer Inkubator des Rüstungsschmieds, 天上の鎧鍛冶のインキュベーター, Incubador Celestial do Armeiro, Небесный инкубатор бронника, Incubadora celestial del armero, ตัวบ่มฟักช่างตีเกราะดวงดาว, celestial-armoursmiths-incubator
Shrieking Essence of Dread, Essence stridente d'Effroi, Kreischende Essenz der Furcht, 喚きのエッセンス（恐怖）, Essência do Pavor Berrante, Визжащая сущность жути, Esencia chillante de terror, Shrieking Essence of Dread, shrieking-essence-of-dread
Prime Chaotic Resonator, Résonateur chaotique prodigieux, Unvergleichlicher chaotischer Resonator, 極上の混沌のレゾネーター, Ressonador Caótico Primordial, Превосходный хаотический резонатор, Resonador caótico primigenio, ตัวสั่นพ้องโกลาหลชั้นเลิศ, prime-chaotic-resonator
Tangled Fossil, Fossile irrégulier, Unförmiges Fossil, もつれのある化石, Fóssil Rústico, Замысловатое ископаемое, Fósil enmarañado, Tangled Fossil, tangled-fossil
Mountain Rune, Rune de la Montagne, Bergrune, 山のルーン, Runa Montícola, Руна Горы, Runa de montaña, อักขระขุนเขา, mountain-rune
Tattoo of the Ngamahu Shaman, Tatouage du Chaman de Ngamahu, Tätowierung des Ngamahu-Schamanen, ナマフのシャーマンのタトゥー, Tatuagem do Xamã de Ngamahu, Татуировка Шамана Нгамаху, Tatuaje de chamán de Ngamahu, ลายสัก คนทรงนามาฮู, tattoo-of-the-ngamahu-shaman
Singular Incubator, Incubateur singulier, Einmaliger Inkubator, 希少なインキュベーター, Incubador Singular, Необычный инкубатор, Incubadora singular, ตัวบ่มฟักเอกเทศ, singular-incubator
Weeping Essence of Rage, Essence larmoyante de Rage, Wimmernde Essenz der Rage, 嘆きのエッセンス（激怒）, Essência da Raiva Lamuriante, Плачущая сущность ярости, Esencia llorosa de furia, Weeping Essence of Rage, weeping-essence-of-rage
Shrieking Essence of Zeal, Essence stridente de Zèle, Kreischende Essenz des Eifers, 喚きのエッセンス（熱狂）, Essência do Zelo Berrante, Визжащая сущность усердия, Esencia chillante de fervor, Shrieking Essence of Zeal, shrieking-essence-of-zeal
Deafening Essence of Envy, Essence assourdissante de Convoitise, Ohrenbetäubende Essenz des Neids, 慟哭のエッセンス（嫉妬）, Essência da Inveja Ensurdecedora, Оглушающая сущность зависти, Esencia ensordecedora de envidia, Deafening Essence of Envy, deafening-essence-of-envy
Omen of Refreshment, Présage de rétablissement, Omen der Erfrischung, 補給のお告げ, Presságio do Repouso, Предсказание восполнения, Augurio de revitalización, ลางบอกเหตุสดชื่น, omen-of-refreshment
Timeless Karui Splinter, Esquille intemporelle des Karuis, Immerwährender Splitter der Karui, カルイの時知らずの破片, Lasca Atemporal Karui, Вневременной осколок каруи, Fragmento atemporal karui, ชิ้นส่วนคารุยเหนือกาลเวลา, timeless-karui-splinter
Clear Oil, Huile limpide, Klares Öl, 澄んだオイル, Óleo Claro, Прозрачное масло, Aceite claro, Clear Oil, clear-oil
Deafening Essence of Fear, Essence assourdissante de Peur, Ohrenbetäubende Essenz der Angst, 慟哭のエッセンス（不安）, Essência do Medo Ensurdecedora, Оглушающая сущность страха, Esencia ensordecedora de miedo, Deafening Essence of Fear, deafening-essence-of-fear
Ultimatum Scarab of Bribing, Scarabée d'Ultimatum du Pot-de-vin, Ultimatum-Skarabäus des Bestechens, 賄賂のアルティメイタムスカラベ, Escaravelho do Ultimato do Suborno, Скарабей Ультиматума подкупа, Escarabajo de ultimátum de sobornos, สคารับคำขาด แห่งสินบน, ultimatum-scarab-of-bribing
Domination Scarab of Evolution, Scarabée de Domination de l'Évolution, Schrein-Skarabäus der Evolution, 進化のドミネーションスカラベ, Escaravelho do Domínio da Evolução, Скарабей Господства эволюции, Escarabajo de dominación de evolución, สคารับแท่นบูชา แห่งวิวัฒนาการ, domination-scarab-of-evolution
Writhing Invitation, Invitation tortillante, Windende Einladung, 悶える招待状, Convite Contorcido, Извивающееся приглашение, Invitación retorcida, คำเชิญชักดิ้น, writhing-invitation
Geomancer's Incubator, Incubateur du géomancien, Inkubator des Geomanten, 風水師のインキュベーター, Incubador do Geomante, Инкубатор геоманта, Incubadora del geomántico, ตัวบ่มฟักนักทำนายโลกา, geomancers-incubator
Grand Eldritch Ichor, Ichor surnaturel majestueux, Großer übernatürlicher Ichor, エルドリッチイコル（特大）, Fluido Ancestral Distinto, Великий зловещий ихор, Icor sobrenatural grandioso, น้ำหนองผิดธรรมชาติชั้นเลิศ, grand-eldritch-ichor
Pristine Fossil, Fossile pur, Unversehrtes Fossil, 綺麗な化石, Fóssil Intocado, Чистое ископаемое, Fósil prístino, Pristine Fossil, pristine-fossil
Sacrifice at Dusk, Sacrifice au crépuscule, Opfergabe bei Abenddämmerung, 黄昏の生贄, Sacrifício ao Anoitecer, Жертва на закате, Sacrificio al anochecer, สังเวยย่ำสายัณห์, dusk
Blighted Incubator, Incubateur infesté, Befallener Inkubator, 荒廃したインキュベーター, Incubador Infestado, Заражённый инкубатор, Incubadora infestada, ตัวบ่มฟักเชื้อราร้าย, blighted-incubator
Noxious Catalyst, Catalyseur nocif, Schädlicher Katalysator, 有毒なカタリスト, Catalisador Nocivo, Ядовитый катализатор, Catalizador nocivo, Noxious Catalyst, noxious-catalyst
Shrieking Essence of Spite, Essence stridente d'Acrimonie, Kreischende Essenz der Bosheit, 喚きのエッセンス（悪意）, Essência do Rancor Berrante, Визжащая сущность неприязни, Esencia chillante de rencor, Shrieking Essence of Spite, shrieking-essence-of-spite
Tul's Breachstone, Pierre de Brèche de Tul, Tuls Riss-Stein, トゥルのブリーチストーン, Pedra da Fenda de Tul, Камень Разлома Тул, Piedra de fisura de Tul, ศิลาบรีชแห่งทุล, tuls-breachstone
Betrayal Scarab of Intelligence, Scarabée du Syndicat de l'Intelligence, Syndikat-Skarabäus der Informationen, 諜報のビトレイアルスカラベ, Escaravelho da Traição da Inteligência, Скарабей Предательства разведки, Escarabajo de traición de inteligencia, สคารับองค์กรทรยศ แห่งข้อมูลลับ, betrayal-scarab-of-intelligence
Horned Scarab of Bloodlines, Scarabée cornu des Lignées, Gehörnter Skarabäus der Blutlinien, 血統の有角のスカラベ, Escaravelho Chifrudo das Linhagens, Рогатый скарабей Родословных, Escarabajo cornudo de líneas de sangre, สคารับมีเขา แห่งสายเลือด, horned-scarab-of-bloodlines
Teal Oil, Huile turquoise, Blaugrünes Öl, 青緑色のオイル, Óleo Cerceta, Бирюзовое масло, Aceite verde azulado, Teal Oil, teal-oil
Skittering Delirium Orb, Orbe grouillant de Délire, Huschende Sphäre des Deliriums, 掠め飛ぶデリリウムオーブ, Orbe Delirante Rastejante, Дёргающаяся сфера Делириума, Orbe de delirio escurridizo, ลูกแก้วเดลิเรียมเสียงแมลง, skittering-delirium-orb
Wailing Essence of Loathing, Essence gémissante d'Aversion, Klagende Essenz der Abscheu, 呻きのエッセンス（嫌悪）, Essência da Repugnância Lamentante, Вопящая сущность отвращения, Esencia lamentosa de aversión, Wailing Essence of Loathing, wailing-essence-of-loathing
Omen of Amelioration, Présage d'amélioration, Omen der Genesung, 改善のお告げ, Presságio da Melhoria, Предсказание избавления, Augurio de mejora, ลางบอกเหตุสงเคราะห์, omen-of-amelioration
Breach Scarab of Lordship, Scarabée de Brèche de la Seigneurie, Riss-Skarabäus der Herrschaft, 支配のブリーチスカラベ, Escaravelho da Fenda da Senhoria, Скарабей Разлома владений, Escarabajo de fisura de señoría, สคารับบรีช แห่งผู้เป็นลอร์ด, breach-scarab-of-lordship
Sepia Oil, Huile sépia, Sepiafarbenes Öl, セピア色のオイル, Óleo Sépia, Коричневое масло, Aceite sepia, Sepia Oil, sepia-oil
Timeless Maraketh Emblem, Emblème intemporel des Marakeths, Immerwährendes Emblem der Maraketh, 時知らずのマラケスの徽章, Emblema Atemporal Maraketh, Вневременной знак маракетов, Emblema atemporal maraketh, ตราสัญลักษณ์มาราเค็ทเหนือกาลเวลา, timeless-maraketh-emblem
Mysterious Incubator, Incubateur mystérieux, Geheimnisvoller Inkubator, 謎めいたインキュベーター, Incubador Misterioso, Загадочный инкубатор, Incubadora misteriosa, ตัวบ่มฟักลึกลับ, mysterious-incubator
Verdant Oil, Huile émeraude, Grünes Öl, 新緑色のオイル, Óleo Verdejante, Изумрудное масло, Aceite verde, Verdant Oil, verdant-oil
Screaming Essence of Misery, Essence hurlante de Détresse, Schreiende Essenz des Elends, 叫びのエッセンス（悲惨）, Essência da Miséria Gritante, Кричащая сущность тоски, Esencia berreante de miseria, Screaming Essence of Misery, screaming-essence-of-misery
Shiny Reliquary Key, Clé du Reliquaire scintillante, Schlüssel zur Glänzenden Reliquienkammer, 輝く聖廟の鍵, Chave do Relicário Brilhante, Ключ от Сверкающего Реликвария, Llave del Relicario brillante, กุญแจคลังวัตถุโบราณแวววับ, shiny-reliquary-key
Wailing Essence of Contempt, Essence gémissante de Dédain, Klagende Essenz der Verachtung, 呻きのエッセンス（侮蔑）, Essência da Desgraça Lamentante, Вопящая сущность презрения, Esencia lamentosa de desprecio, Wailing Essence of Contempt, wailing-essence-of-contempt
Deafening Essence of Torment, Essence assourdissante de Tourment, Ohrenbetäubende Essenz der Folter, 慟哭のエッセンス（苦悩）, Essência do Tormento Ensurdecedora, Оглушающая сущность мучения, Esencia ensordecedora de tormento, Deafening Essence of Torment, deafening-essence-of-torment
Tattoo of the Tasalio Tideshifter, Tatouage du Trouble-marée de Tasalio, Tätowierung des Tasalio-Gezeitenwandlers, タサリオのタイドシフターのタトゥー, Tatuagem do Capitão das Marés de Tasalio, Татуировка Волнореза Тасалио, Tatuaje de cambiamareas de Tasalio, ลายสัก ผู้เคลื่อนคลื่นทาเซลีโอ, tattoo-of-the-tasalio-tideshifter
Ambush Scarab of Hidden Compartments, Scarabée de l'Embuscade des Compartiments cachés, Hinterhalt-Skarabäus der verborgenen Fächer, 隠し抽斗のアンブッシュスカラベ, Escaravelho da Emboscada dos Compartimentos Escondidos, Скарабей Засады потайных отсеков, Escarabajo de emboscada de compartimentos ocultos, สคารับกล่องนิรภัย แห่งช่องเร้นลับ, ambush-scarab-of-hidden-compartments
Tattoo of the Valako Warrior, Tatouage du Guerrier de Valako, Tätowierung des Valako-Kriegers, ヴァラコの戦士のタトゥー, Tatuagem do Guerreiro de Valako, Татуировка Воина Валако, Tatuaje de guerrero de Valako, ลายสัก นักรบวาลาโค, tattoo-of-the-valako-warrior
Screaming Essence of Loathing, Essence hurlante d'Aversion, Schreiende Essenz der Abscheu, 叫びのエッセンス（嫌悪）, Essência da Repugnância Gritante, Кричащая сущность отвращения, Esencia berreante de aversión, Screaming Essence of Loathing, screaming-essence-of-loathing
Timeworn Reliquary Key, Clé du Reliquaire érodé par le temps, Schlüssel zur Abgewetzten Reliquienkammer, 古びた聖廟の鍵, Chave do Relicário Gasto Pelo Tempo, Ключ от Ветхого Реликвария, Llave del Relicario deteriorado por el tiempo, กุญแจคลังวัตถุโบราณคร่ำครึ, timeworn-reliquary-key
Screaming Essence of Envy, Essence hurlante de Convoitise, Schreiende Essenz des Neids, 叫びのエッセンス（嫉妬）, Essência da Inveja Gritante, Кричащая сущность зависти, Esencia berreante de envidia, Screaming Essence of Envy, screaming-essence-of-envy
Powerful Chaotic Resonator, Résonateur chaotique puissant, Mächtiger chaotischer Resonator, 強力な混沌のレゾネーター, Ressonador Caótico Poderoso, Мощный хаотический резонатор, Resonador caótico poderoso, ตัวสั่นพ้องโกลาหลทรงพลัง, powerful-chaotic-resonator
Tattoo of the Tawhoa Warrior, Tatouage du Guerrier de Tawhoa, Tätowierung des Tawhoa-Kriegers, タウホアの戦士のタトゥー, Tatuagem do Guerreiro de Tawhoa, Татуировка Воина Тахоа, Tatuaje de guerrero de Tawhoa, ลายสัก นักรบทาฟัว, tattoo-of-the-tawhoa-warrior
Screaming Essence of Fear, Essence hurlante de Peur, Schreiende Essenz der Angst, 叫びのエッセンス（不安）, Essência do Medo Gritante, Кричащая сущность страха, Esencia berreante de miedo, Screaming Essence of Fear, screaming-essence-of-fear
Tailoring Orb, Orbe de confection, Sphäre der Gewandung, 仕立てのオーブ, Orbe do Alfaiate, Сфера подгонки, Orbe de sastrería, Tailoring Orb, tailoring-orb
Orb of Augmentation, Orbe d'augmentation, Aufwertungssphäre, 増強のオーブ, Orbe Ampliador, Сфера усиления, Orbe de aumento, Orb of Augmentation, aug
Baran's Crest, Insigne de Baran, Wappen von Baran, バランの紋章, Coroa de Baran, Герб Бэрана, Emblema de Baran, ตราของบาราน, barans-crest
Awakening Fragment, Fragment d'Éveil, Erweckendes Fragment, 覚醒の断片, Fragmento Desperto, Пробуждающий фрагмент, Fragmento del despertar, ชิ้นส่วนจุติ, awakening-fragment
Torment Scarab of Release, Scarabée du Tourment de la Libération, Folter-Skarabäus der Freilassung, 解放のトーメントスカラベ, Escaravelho Atormentado da Liberação, Скарабей Мучения освобождения, Escarabajo de tormento de liberación, สคารับผีตายโหง แห่งการปลดปล่อย, torment-scarab-of-release
Tattoo of the Rongokurai Guard, Tatouage du Garde de Rongokurai, Tätowierung des Rongokurai-Wächters, ロンゴクライの衛兵のタトゥー, Tatuagem do Guarda de Rongokurai, Татуировка Стражника Ронгокураи, Tatuaje de guardia de Rongokurai, ลายสัก ผู้พิทักษ์รอนโงคูรัย, tattoo-of-the-rongokurai-guard
Remnant of Corruption, Reliquat de corruption, Relikt der Verderbtheit, コラプションレムナント, Resto de Corrupção, След Порчи, Remanente de corrupción, Remnant of Corruption, remnant-of-corruption
Chaos Shard, Éclat de chaos, Chaosscherbe, 混沌の欠片, Lasca do Caos, Осколок хаоса, Esquirla de caos, ชิ้นส่วน Chaos, chaos-shard
Thaumaturge's Delirium Orb, Orbe thaumaturgique de Délire, Thaumaturgische Sphäre des Deliriums, 魔術師のデリリウムオーブ, Orbe Delirante do Taumaturgo, Волшебная сфера Делириума, Orbe de delirio del taumaturgo, ลูกแก้วเดลิเรียมจอมเวทมณี, thaumaturges-delirium-orb
Fine Incubator, Incubateur raffiné, Feiner Inkubator, 上質なインキュベーター, Incubador Fino, Прекрасный инкубатор, Incubadora elegante, ตัวบ่มฟักประณีต, fine-incubator
Essence of Horror, Essence d'Horreur, Essenz des Horrors, 戦慄のエッセンス, Essência do Horror, Сущность ужаса, Esencia de horror, Essence of Horror, essence-of-horror
Orb of Binding, Orbe de liaison, Bindungssphäre, 連結のオーブ, Orbe do Elo, Сфера сплетения, Orbe de vinculación, Orb of Binding, orb-of-binding
Esh's Breachstone, Pierre de Brèche d'Esh, Eshs Riss-Stein, エッシュのブリーチストーン, Pedra da Fenda de Esh, Камень Разлома Иш, Piedra de fisura de Esh, ศิลาบรีชแห่งเอ็ช, eshs-breachstone
Tattoo of the Tasalio Shaman, Tatouage du Chaman de Tasalio, Tätowierung des Tasalio-Schamanen, タサリオのシャーマンのタトゥー, Tatuagem do Xamã de Tasalio, Татуировка Шамана Тасалио, Tatuaje de chamán de Tasalio, ลายสัก คนทรงทาเซลีโอ, tattoo-of-the-tasalio-shaman
Cartographer's Delirium Orb, Orbe cartographique de Délire, Gemeißelte Sphäre des Deliriums, 地図職人のデリリウムオーブ, Orbe Delirante do Cartógrafo, Картографическая сфера Делириума, Orbe de delirio del cartógrafo, ลูกแก้วเดลิเรียมนักเขียนแผนที่, cartographers-delirium-orb
Eldritch Chaos Orb, Orbe du chaos surnaturel, Übernatürliche Chaossphäre, エルドリッチの混沌のオーブ, Orbe Ancestral do Caos, Мистическая сфера хаоса, Orbe de caos sobrenatural, Eldritch Chaos Orb, eldritch-chaos-orb
Timeless Templar Emblem, Emblème intemporel des Templiers, Immerwährendes Emblem der Templer, 時知らずのテンプラーの徽章, Emblema Atemporal Templário, Вневременной знак храмовников, Emblema atemporal templario, ตราสัญลักษณ์เทมพลาร์เหนือกาลเวลา, timeless-templar-emblem
Diviner's Incubator, Incubateur divinatoire, Inkubator des Weissagers, 占い師のインキュベーター, Incubador do Divino, Инкубатор предсказателя, Incubadora del adivino, ตัวบ่มฟักนักพยากรณ์, diviners-incubator
Screaming Essence of Contempt, Essence hurlante de Dédain, Schreiende Essenz der Verachtung, 叫びのエッセンス（侮蔑）, Essência da Desgraça Gritante, Кричащая сущность презрения, Esencia berreante de desprecio, Screaming Essence of Contempt, screaming-essence-of-contempt
Sacrifice Set, Ensemble du sacrifice, Opfergaben-Set, 生贄セット, Conjunto de Sacrifícios, Набор Жертв, Set de sacrificio, ชุดสังเวย, sacrifice-set
Incursion Scarab of Invasion, Scarabée d'Incursion de l'Invasion, Inkursion-Skarabäus der Invasion, 侵入のインカージョンスカラベ, Escaravelho da Incursão da Invasão, Скарабей Вмешательства вторжения, Escarabajo de incursión de invasión, สคารับย้อนเวลา แห่งการรุกราน, incursion-scarab-of-invasion
Expedition Scarab of the Skald, Scarabée d'Expédition du Scalde, Expedition-Skarabäus des Skalden, 吟唱詩人のエクスペディションスカラベ, Escaravelho da Expedição do Skald, Скарабей Экспедиции скальда, Escarabajo de expedición de escaldo, สคารับกองสำรวจ แห่งกวี, expedition-scarab-of-the-skald
Burial Medallion, Médaillon funéraire, Grabmedaillon, 副葬品のメダリオン, Medalhão Funerário, Погребальный медальон, Medallón funerario, เหรียญฝังศพ, burial-medallion
Warlord's Exalted Orb, Orbe exalté du Seigneur de guerre, Erhabene Sphäre des Kriegsfürsten, ウォーロードの高貴なオーブ, Orbe Exaltado do Senhor da Guerra, Сфера возвышения вождя, Orbe exaltado del Jefe de guerra, Warlord's Exalted Orb, warlords-exalted-orb
Fragmented Incubator, Incubateur fragmenté, Fragmentierter Inkubator, 断片化したインキュベーター, Incubador Fragmentado, Раздробленный инкубатор, Incubadora fragmentada, ตัวบ่มฟักแยกส่วน, fragmented-incubator
Incursion Scarab, Scarabée d'Incursion, Inkursion-Skarabäus, インカージョンスカラベ, Escaravelho da Incursão, Скарабей Вмешательства, Escarabajo de incursión, สคารับย้อนเวลา, incursion-scarab
Weeping Essence of Woe, Essence larmoyante d'Affliction, Wimmernde Essenz des Kummers, 嘆きのエッセンス（悲痛）, Essência da Angústia Lamuriante, Плачущая сущность скорби, Esencia llorosa de aflicción, Weeping Essence of Woe, weeping-essence-of-woe
Tattoo of the Tukohama Warrior, Tatouage du Guerrier de Tukohama, Tätowierung des Tukohama-Kriegers, トゥコハマの戦士のタトゥー, Tatuagem do Guerreiro de Tukohama, Татуировка Воина Тукохамы, Tatuaje de guerrero de Tukohama, ลายสัก นักรบทูโคฮาม่า, tattoo-of-the-tukohama-warrior
Singular Delirium Orb, Orbe singulier de Délire, Einmalige Sphäre des Deliriums, 希少なデリリウムオーブ, Orbe Delirante Singular, Необычная сфера Делириума, Orbe de delirio singular, ลูกแก้วเดลิเรียมเอกเทศ, singular-delirium-orb
Tainted Chromatic Orb, Orbe chromatique impur, Korrosive Färbungssphäre, 汚染された色彩のオーブ, Orbe Cromático Corroído, Порочная цветная сфера, Orbe cromático contaminado, Tainted Chromatic Orb, tainted-chromatic-orb
Scarab of Wisps, Scarabée des Flammeroles, Skarabäus der Irrlichter, ウィスプのスカラベ, Escaravelho dos Espíritos, Скарабей огоньков, Escarabajo de fuegos fatuos, สคารับ แห่งวิสป์, scarab-of-wisps
Crimson Oil, Huile carmin, Blutrotes Öl, 深紅色のオイル, Óleo Rubro, Алое масло, Aceite carmín, Crimson Oil, crimson-oil
Muttering Essence of Woe, Essence chuchotante d'Affliction, Murmelnde Essenz des Kummers, 呟きのエッセンス（悲痛）, Essência da Angústia Murmurante, Бормочущая сущность скорби, Esencia murmurante de aflicción, Muttering Essence of Woe, muttering-essence-of-woe
Essence of Insanity, Essence de Démence, Essenz des Irrsinns, 狂気のエッセンス, Essência da Insanidade, Сущность безумия, Esencia de demencia, Essence of Insanity, essence-of-insanity
Tattoo of the Arohongui Shaman, Tatouage du Chaman d'Arohongui, Tätowierung des Arohongui-Schamanen, アロホングイのシャーマンのタトゥー, Tatuagem do Xamã de Aronhongui, Татуировка Шамана Арохонгуи, Tatuaje de chamán de Arohongui, ลายนัก คนทรงอะโรฮอนงุย, tattoo-of-the-arohongui-shaman
Tainted Exalted Orb, Orbe exalté impur, Korrosive Erhabene Sphäre, 汚染された高貴なオーブ, Orbe Exaltado Corroído, Порочная сфера возвышения, Orbe exaltado contaminado, Tainted Exalted Orb, tainted-exalted-orb
Expedition Scarab of Runefinding, Scarabée d'Expédition du Cherche-rune, Expedition-Skarabäus des Runenfindens, ルーン素材のエクスペディションスカラベ, Escaravelho da Expedição da Runificação, Скарабей Экспедиции поиска рун, Escarabajo de expedición de buscarunas, สคารับกองสำรวจ แห่งการค้นหาอักขระ, expedition-scarab-of-runefinding
Intrinsic Catalyst, Catalyseur intrinsèque, Intrinsischer Katalysator, 本質のカタリスト, Catalisador Intrínseco, Истинный катализатор, Catalizador intrínseco, Intrinsic Catalyst, intrinsic-catalyst
Weeping Essence of Wrath, Essence larmoyante de Fureur, Wimmernde Essenz des Zorns, 嘆きのエッセンス（憤怒）, Essência da Ira Lamuriante, Плачущая сущность гнева, Esencia llorosa de ira, Weeping Essence of Wrath, weeping-essence-of-wrath
Omen of the Jeweller, Présage du joaillier, Omen des Goldschmieds, 宝飾職人のお告げ, Presságio do Joalheiro, Предсказание златокузнеца, Augurio del joyero, ลางบอกเหตุช่างเครื่องประดับ, omen-of-the-jeweller
Maddening Object, Chose aliénante, Objekt des Wahnsinns, 狂気の中心, Objeto Enlouquecedor, Субстанция безумия, Objeto enloquecedor, วัตถุบ้าคลั่ง, maddening-object
