// Currency Translations
// Order: English, French, German, Japanese, Portuguese, Russian, Spanish, Thai

Shrieking Essence of Anguish, Essence stridente d'Angoisse, Kreischende Essenz der Qual, 喚きのエッセンス（苦悶）, Essência da Agonia Berrante, Визжащая сущность горя, Esencia chillante de angustia, Shrieking Essence of Anguish
Shrieking Essence of Contempt, Essence stridente de Dédain, Kreischende Essenz der Verachtung, 喚きのエッセンス（侮蔑）, Essência da Desgraça Berrante, Визжащая сущность презрения, Esencia chillante de desprecio, Shrieking Essence of Contempt
Shrieking Essence of Doubt, Essence stridente d'Incertitude, Kreischende Essenz des Zweifels, 喚きのエッセンス（疑心）, Essência da Hesitação Berrante, Визжащая сущность сомнения, Esencia chillante de duda, Shrieking Essence of Doubt
Shrieking Essence of Dread, Essence stridente d'Effroi, Kreischende Essenz der Furcht, 喚きのエッセンス（恐怖）, Essência do Pavor Berrante, Визжащая сущность жути, Esencia chillante de terror, Shrieking Essence of Dread
Shrieking Essence of Envy, Essence stridente de Convoitise, Kreischende Essenz des Neids, 喚きのエッセンス（嫉妬）, Essência da Inveja Berrante, Визжащая сущность зависти, Esencia chillante de envidia, Shrieking Essence of Envy
Shrieking Essence of Fear, Essence stridente de Peur, Kreischende Essenz der Angst, 喚きのエッセンス（不安）, Essência do Medo Berrante, Визжащая сущность страха, Esencia chillante de miedo, Shrieking Essence of Fear
Shrieking Essence of Greed, Essence stridente d'Avarice, Kreischende Essenz der Gier, 喚きのエッセンス（貪欲）, Essência da Ganância Berrante, Визжащая сущность жадности, Esencia chillante de avaricia, Shrieking Essence of Greed
Shrieking Essence of Hatred, Essence stridente de Haine, Kreischende Essenz des Hasses, 喚きのエッセンス（憎悪）, Essência do Ódio Berrante, Визжащая сущность ненависти, Esencia chillante de odio, Shrieking Essence of Hatred
Shrieking Essence of Loathing, Essence stridente d'Aversion, Kreischende Essenz der Abscheu, 喚きのエッセンス（嫌悪）, Essência da Repugnância Berrante, Визжащая сущность отвращения, Esencia chillante de aversión, Shrieking Essence of Loathing
Shrieking Essence of Misery, Essence stridente de Détresse, Kreischende Essenz des Elends, 喚きのエッセンス（悲惨）, Essência da Miséria Berrante, Визжащая сущность тоски, Esencia chillante de miseria, Shrieking Essence of Misery
Shrieking Essence of Rage, Essence stridente de Rage, Kreischende Essenz der Rage, 喚きのエッセンス（激怒）, Essência da Raiva Berrante, Визжащая сущность ярости, Esencia chillante de furia, Shrieking Essence of Rage
Shrieking Essence of Scorn, Essence stridente de Mépris, Kreischende Essenz des Gespötts, 喚きのエッセンス（軽蔑）, Essência do Desprezo Berrante, Визжащая сущность насмешки, Esencia chillante de desdén, Shrieking Essence of Scorn
Shrieking Essence of Sorrow, Essence stridente de Chagrin, Kreischende Essenz der Trauer, 喚きのエッセンス（悲哀）, Essência da Mágoa Berrante, Визжащая сущность печали, Esencia chillante de pena, Shrieking Essence of Sorrow
Shrieking Essence of Spite, Essence stridente d'Acrimonie, Kreischende Essenz der Bosheit, 喚きのエッセンス（悪意）, Essência do Rancor Berrante, Визжащая сущность неприязни, Esencia chillante de rencor, Shrieking Essence of Spite
Shrieking Essence of Suffering, Essence stridente de Souffrance, Kreischende Essenz des Leids, 喚きのエッセンス（苦痛）, Essência do Sofrimento Berrante, Визжащая сущность страдания, Esencia chillante de sufrimiento, Shrieking Essence of Suffering
Shrieking Essence of Torment, Essence stridente de Tourment, Kreischende Essenz der Folter, 喚きのエッセンス（苦悩）, Essência do Tormento Berrante, Визжащая сущность мучения, Esencia chillante de tormento, Shrieking Essence of Torment
Shrieking Essence of Woe, Essence stridente d'Affliction, Kreischende Essenz des Kummers, 喚きのエッセンス（悲痛）, Essência da Angústia Berrante, Визжащая сущность скорби, Esencia chillante de aflicción, Shrieking Essence of Woe
Shrieking Essence of Wrath, Essence stridente de Fureur, Kreischende Essenz des Zorns, 喚きのエッセンス（憤怒）, Essência da Ira Berrante, Визжащая сущность гнева, Esencia chillante de ira, Shrieking Essence of Wrath
Shrieking Essence of Zeal, Essence stridente de Zèle, Kreischende Essenz des Eifers, 喚きのエッセンス（熱狂）, Essência do Zelo Berrante, Визжащая сущность усердия, Esencia chillante de fervor, Shrieking Essence of Zeal
Shuddering Fossil, Fossile frémissant, Schauderndes Fossil, 震動する化石, Fóssil Estremecedor, Дрожащее ископаемое, Fósil vibrante, Shuddering Fossil
Silver Oil, Huile argentée, Silbernes Öl, 銀色のオイル, Óleo Prateado, Серебряное масло, Aceite plateado, Silver Oil
Simulacrum Splinter, Esquille de Simulacre, Simulacrum-Splitter, シミュラクラムの破片, Lasca de Simulacro, Осколок Симулякра, Fragmento de Simulacro, ชิ้นส่วนเมืองจำแลง
Simulacrum, Simulacre, Simulacrum, シミュラクラム, Simulacrum, Симулякр, Simulacro, เมืองจำแลง
Singular Delirium Orb, Orbe singulier de Délire, Einmalige Sphäre des Deliriums, 希少なデリリウムオーブ, Orbe Delirante Singular, Необычная сфера Делириума, Orbe de delirio singular, ลูกแก้วเดลิเรียมเอกเทศ
Singular Incubator, Incubateur singulier, Einmaliger Inkubator, 希少なインキュベーター, Incubador Singular, Необычный инкубатор, Incubadora singular, ตัวบ่มฟักเอกเทศ
Skittering Delirium Orb, Orbe grouillant de Délire, Huschende Sphäre des Deliriums, 掠め飛ぶデリリウムオーブ, Orbe Delirante Rastejante, Дёргающаяся сфера Делириума, Orbe de delirio escurridizo, ลูกแก้วเดลิเรียมเสียงแมลง
Skittering Incubator, Incubateur grouillant, Huschender Inkubator, 這い回るインキュベーター, Incubador Deslizante, Дергающийся инкубатор, Incubadora de insectos, ตัวบ่มฟักเสียงแมลง
Splinter of Chayula, Esquille de Chayula, Chayulas Splitter, チャユラの破片, Lasca de Chayula, Осколок Чаюлы, Astilla de Chayula, ชิ้นส่วนชายูล่า
Splinter of Esh, Esquille d'Esh, Eshs Splitter, エシュの破片, Lasca de Esh, Осколок Иш, Astilla de Esh, ชิ้นส่วนเอ็ช
Splinter of Tul, Esquille de Tul, Tuls Splitter, トゥルの破片, Lasca de Tul, Осколок Тул, Astilla de Tul, ชิ้นส่วนทุล
Splinter of Uul-Netol, Esquille d'Uul-Netol, Uul-Netols Splitter, ウール・ネトルの破片, Lasca de Uul-Netol, Осколок Уул-Нетол, Astilla de Uul-Netol, ชิ้นส่วนอูล-เนโทล
Splinter of Xoph, Esquille de Xoph, Xophs Splitter, ゾフの破片, Lasca de Xoph, Осколок Ксофа, Astilla de Xoph, ชิ้นส่วนซอปห์
Stacked Deck, Bonne pioche, Kartenstapel, 細工されたデッキ, Baralho Fechado, Колода карт, Baraja apilada, สำรับไพ่ปริศนา
Sulphite Scarab of Fumes, Scarabée de Sulfite des Émanations, Sulfit-Skarabäus der Dämpfe, 煙霧のサルファイトスカラベ, Escaravelho de Sulfito dos Gases, Сульфитовый скарабей испарений, Escarabajo de sulfito de gases, สคารับซัลไฟต์ แห่งไอเดือดดาล
Sulphite Scarab of Greed, Scarabée de Sulfite de l'Avarice, Sulfit-Skarabäus der Gier, 欲望のサルファイトスカラベ, Escaravelho de Sulfito da Ganância, Сульфитовый скарабей алчности, Escarabajo de sulfito de codicia, สคารับซัลไฟต์ แห่งความโลภ
Sulphite Scarab, Scarabée de Sulfite, Sulfit-Skarabäus, サルファイトスカラベ, Escaravelho de Sulfito, Сульфитовый скарабей, Escarabajo de sulfito, สคารับซัลไฟต์
Sun Rune, Rune du Soleil, Sonnenrune, 日のルーン, Runa Solar, Руна Солнца, Runa de sol, อักขระตะวัน
Synthesising Fragment, Fragment de Synthèse, Synthetisierendes Fragment, 合成の断片, Fragmento Sintetizado, Синтезирующий фрагмент, Fragmento sintetizador, ชิ้นส่วนสังเคราะห์
Tailoring Orb, Orbe de confection, Sphäre der Gewandung, 仕立てのオーブ, Orbe do Alfaiate, Сфера подгонки, Orbe de sastrería, Tailoring Orb
Tainted Armourer's Scrap, Ferraille d'armurier impure, Korrosives Plattnerstück, 汚染された鎧鍛冶の端材, Sucata Corroída do Armeiro, Порочная деталь доспеха, Restos de armaduras contaminados, Tainted Armourer's Scrap
Tainted Blacksmith's Whetstone, Pierre à aiguiser de forgeron impure, Korrosiver Schleifstein, 汚染された鍛冶屋の砥石, Amolador Corroído do Ferreiro, Порочный точильный камень, Piedra de afilar contaminada, Tainted Blacksmith's Whetstone
Tainted Catalyst, Catalyseur souillé, Korrosiver Katalysator, 汚染されたカタリスト, Catalisador Maculado, Порочный катализатор, Catalizador contaminado, Tainted Catalyst
Tainted Chaos Orb, Orbe du chaos impur, Korrosive Chaossphäre, 汚染された混沌のオーブ, Orbe do Caos Corroído, Порочная сфера хаоса, Orbe de caos contaminado, Tainted Chaos Orb
Tainted Chromatic Orb, Orbe chromatique impur, Korrosive Färbungssphäre, 汚染された色彩のオーブ, Orbe Cromático Corroído, Порочная цветная сфера, Orbe cromático contaminado, Tainted Chromatic Orb
Tainted Divine Teardrop, Larme divine impure, Korrosive Göttliche Träne, 汚染された神の涙, Lágrima Divina Corroída, Порочная божественная слеза, Lágrima divina contaminada, Tainted Divine Teardrop
Tainted Exalted Orb, Orbe exalté impur, Korrosive Erhabene Sphäre, 汚染された高貴なオーブ, Orbe Exaltado Corroído, Порочная сфера возвышения, Orbe exaltado contaminado, Tainted Exalted Orb
Tainted Jeweller's Orb, Orbe de joaillier impur, Korrosive Sphäre des Goldschmieds, 汚染された宝飾職人のオーブ, Orbe do Joalheiro Corroído, Порочная сфера златокузнеца, Orbe de joyero contaminado, Tainted Jeweller's Orb
Tainted Mythic Orb, Orbe mythique impur, Korrosive Mythische Sphäre, 汚染された神話のオーブ, Orbe Mítico Corroído, Порочная мифическая сфера, Orbe mítico contaminado, Tainted Mythic Orb
Tainted Oil, Huile impure, Verderbtes Öl, 汚染されたオイル, Óleo Contaminado, Заражённое масло, Aceite contaminado, Tainted Oil
Tainted Orb of Fusing, Orbe de fusion impur, Korrosive Verbindungssphäre, 汚染された結合のオーブ, Orbe da Fusão Corroído, Порочная сфера соединения, Orbe de fusión contaminado, Tainted Orb of Fusing
Tangled Fossil, Fossile irrégulier, Unförmiges Fossil, もつれのある化石, Fóssil Rústico, Замысловатое ископаемое, Fósil enmarañado, Tangled Fossil
Tattoo of the Kitava Heart Eater, Tatouage du Mange-cœur de Kitava, Tätowierung des Kitava-Herzenfressers, キタヴァの心臓喰らいのタトゥー, Tatuagem do Devorador de Corações de Kitava, Татуировка Пожирателя сердец Китавы, Tatuaje de comecorazones de Kitava, ลายสัก ผู้กินหัวใจคิทาวา
Tattoo of the Ngamahu Firewalker, Tatouage du Marche-feu de Ngamahu, Tätowierung des Ngamahu-Feuerläufers, ナマフの火歩きのタトゥー, Tatuagem do Andarilho Flamejante de Ngamahu, Татуировка Огненного ходока Нгамаху, Tatuaje del caminante de fuego Ngamahu, ลายสัก ผู้ก้าวเพลิงนามาฮู
Tattoo of the Tasalio Tideshifter, Tatouage du Trouble-marée de Tasalio, Tätowierung des Tasalio-Gezeitenwandlers, タサリオのタイドシフターのタトゥー, Tatuagem do Capitão das Marés de Tasalio, Татуировка Волнореза Тасалио, Tatuaje de cambiamareas de Tasalio, ลายสัก ผู้เคลื่อนคลื่นทาเซลีโอ
Teal Oil, Huile turquoise, Blaugrünes Öl, 青緑色のオイル, Óleo Cerceta, Бирюзовое масло, Aceite verde azulado, Teal Oil
Tempering Catalyst, Catalyseur trempé, Härtender Katalysator, 焼き直しのカタリスト, Catalisador Moderado, Закаляющий катализатор, Catalizador templado, Tempering Catalyst
Tempering Orb, Orbe d'acier trempé, Sphäre der Vergütung, 焼き戻しのオーブ, Orbe da Modificação, Сфера закалки, Orbe de herrería, Tempering Orb
Thaumaturge's Delirium Orb, Orbe thaumaturgique de Délire, Thaumaturgische Sphäre des Deliriums, 魔術師のデリリウムオーブ, Orbe Delirante do Taumaturgo, Волшебная сфера Делириума, Orbe de delirio del taumaturgo, ลูกแก้วเดลิเรียมจอมเวทมณี
Thaumaturge's Incubator, Incubateur thaumaturgique, Inkubator des Thaumaturgisten, 魔術師のインキュベーター, Incubador do Taumaturgo, Инкубатор волшебника, Incubadora del taumaturgo, ตัวบ่มฟักจอมเวทมณี
The Maven's Writ, Le Décret de la Prodige, Das Schriftstück der Seherin, メイヴェンの召喚状, A Citação de Maven, Веление Мейвен, Orden de la Especialista, หมายจากเมเวน
Time Rune, Rune du Temps, Zeitrune, 時のルーン, Runa Temporal, Руна Времени, Runa de tiempo, อักขระกาลเวลา
Timeless Delirium Orb, Orbe intemporel de Délire, Immerwährende Sphäre des Deliriums, 時知らずのデリリウムオーブ, Orbe Delirante Atemporal, Вневременная сфера Делириума, Orbe de delirio atemporal, ลูกแก้วเดลิเรียมเหนือกาลเวลา
Timeless Eternal Emblem, Emblème intemporel de l'Empire éternel, Immerwährendes Emblem des Ewigen Kaiserreichs, 時知らずのエターナルの徽章, Emblema Atemporal Eterno, Вневременной знак Вечных, Emblema atemporal eterno, ตราสัญลักษณ์นิรันดร์เหนือกาลเวลา
Timeless Eternal Empire Splinter, Esquille intemporelle de l'Empire éternel, Immerwährender Splitter des Ewigen Kaiserreichs, 永遠なる帝国の時知らずの破片, Lasca Atemporal do Império Eterno, Вневременной осколок Вечной Империи, Fragmento atemporal del imperio eterno, ชิ้นส่วนจักรวรรดินิรันดร์เหนือกาลเวลา
Timeless Karui Emblem, Emblème intemporel des Karuis, Immerwährendes Emblem der Karui, 時知らずのカルイの徽章, Emblema Atemporal Karui, Вневременной знак каруи, Emblema atemporal implacable karui, ตราสัญลักษณ์คารุยเหนือกาลเวลา
Timeless Karui Splinter, Esquille intemporelle des Karuis, Immerwährender Splitter der Karui, カルイの時知らずの破片, Lasca Atemporal Karui, Вневременной осколок каруи, Fragmento atemporal karui, ชิ้นส่วนคารุยเหนือกาลเวลา
Timeless Maraketh Emblem, Emblème intemporel des Marakeths, Immerwährendes Emblem der Maraketh, 時知らずのマラケスの徽章, Emblema Atemporal Maraketh, Вневременной знак маракетов, Emblema atemporal maraketh, ตราสัญลักษณ์มาราเค็ทเหนือกาลเวลา
Timeless Maraketh Splinter, Esquille intemporelle des Marakeths, Immerwährender Splitter der Maraketh, マラケスの時知らずの破片, Lasca Atemporal Maraketh, Вневременной осколок маракетов, Fragmento atemporal maraketh, ชิ้นส่วนมาราเค็ทเหนือกาลเวลา
Timeless Templar Emblem, Emblème intemporel des Templiers, Immerwährendes Emblem der Templer, 時知らずのテンプラーの徽章, Emblema Atemporal Templário, Вневременной знак храмовников, Emblema atemporal templario, ตราสัญลักษณ์เทมพลาร์เหนือกาลเวลา
Timeless Templar Splinter, Esquille intemporelle des Templiers, Immerwährender Splitter der Templer, テンプラーの時知らずの破片, Lasca Atemporal Templária, Вневременной осколок храмовников, Fragmento atemporal templario, ชิ้นส่วนเทมพลาร์เหนือกาลเวลา
Timeless Vaal Emblem, Emblème intemporel des Vaal, Immerwährendes Emblem der Vaal, 時知らずのヴァールの徽章, Emblema Atemporal Vaal, Вневременной знак ваал, Emblema atemporal vaal, ตราสัญลักษณ์วาล์เหนือกาลเวลา
Timeless Vaal Splinter, Esquille intemporelle des Vaals, Immerwährender Splitter der Vaal, ヴァールの時知らずの破片, Lasca Atemporal Vaal, Вневременной осколок ваал, Fragmento atemporal vaal, ชิ้นส่วนวาล์เหนือกาลเวลา
Timeworn Reliquary Key, Clé du Reliquaire érodé par le temps, Schlüssel zur Abgewetzten Reliquienkammer, 古びた聖廟の鍵, Chave do Relicário Gasto Pelo Tempo, Ключ от Ветхого Реликвария, Llave del Relicario deteriorado por el tiempo, กุญแจคลังวัตถุโบราณคร่ำครึ
Titanic Scarab of Legend, Scarabée titanesque de la Légende, Titanischer Skarabäus der Legenden, 伝説のタイタンのスカラベ, Escaravelho Titânico da Lenda, Титанический скарабей легенды, Escarabajo titánico de leyenda, สคารับมหึมา แห่งตำนาน
Titanic Scarab of Treasures, Scarabée titanesque des Trésors, Titanischer Skarabäus der Schätze, 財宝のタイタンのスカラベ, Escaravelho Titânico dos Tesouros, Титанический скарабей сокровищ, Escarabajo titánico de tesoros, สคารับมหึมา แห่งสมบัติ
Titanic Scarab, Scarabée titanesque, Titanischer Skarabäus, タイタンのスカラベ, Escaravelho Titânico, Титанический скарабей, Escarabajo titánico, สคารับมหึมา
Torment Scarab of Peculiarity, Scarabée du Tourment de la Particularité, Folter-Skarabäus der Absonderlichkeit, 異様なトーメントスカラベ, Escaravelho Atormentado da Peculiaridade, Скарабей Мучения своеобразия, Escarabajo de tormento de peculiaridad, สคารับผีตายโหง แห่งความประหลาด
Torment Scarab of Possession, Scarabée du Tourment de la Possession, Folter-Skarabäus des Besitzes, 憑依のトーメントスカラベ, Escaravelho Atormentado da Possessão, Скарабей Мучения одержимости, Escarabajo de tormento de posesión, สคารับผีตายโหง แห่งการเข้าสิง
Torment Scarab of Release, Scarabée du Tourment de la Libération, Folter-Skarabäus der Freilassung, 解放のトーメントスカラベ, Escaravelho Atormentado da Liberação, Скарабей Мучения освобождения, Escarabajo de tormento de liberación, สคารับผีตายโหง แห่งการปลดปล่อย
Torment Scarab, Scarabée du Tourment, Folter-Skarabäus, トーメントスカラベ, Escaravelho Atormentado, Скарабей Мучения, Escarabajo de tormento, สคารับผีตายโหง
Tribute to the Goddess, Tribut à la déesse, Tribut an die Göttin, 女神への賛辞, Tributo à Deusa, Дань богине, Tributo a la Diosa, เครื่องบรรณาการแด่เทพี
Tul's Breachstone, Pierre de Brèche de Tul, Tuls Riss-Stein, トゥルのブリーチストーン, Pedra da Fenda de Tul, Камень Разлома Тул, Piedra de fisura de Tul, ศิลาบรีชแห่งทุล
Tul's Flawless Breachstone, Pierre de Brèche parfaite  de Tul, Tuls makelloser Riss-Stein, トゥルの極限ブリーチストーン, Pedra de Fenda Impecável de Tul, Безупречный камень Разлома Тул, Piedra de fisura perfecta de Tul, ศิลาบรีชไร้ที่ติแห่งทุล
Turbulent Catalyst, Catalyseur agité, Stürmischer Katalysator, 大荒れのカタリスト, Catalisador Turbulento, Бурный катализатор, Catalizador turbulento, Turbulent Catalyst
Ultimatum Scarab of Bribing, Scarabée d'Ultimatum du Pot-de-vin, Ultimatum-Skarabäus des Bestechens, 賄賂のアルティメイタムスカラベ, Escaravelho do Ultimato do Suborno, Скарабей Ультиматума подкупа, Escarabajo de ultimátum de sobornos, สคารับคำขาด แห่งสินบน
Ultimatum Scarab of Catalysing, Scarabée d'Ultimatum de la Catalyse, Ultimatum-Skarabäus des Katalysierens, 触媒のアルティメイタムスカラベ, Escaravelho do Ultimato da Catalização, Скарабей Ультиматума катализа, Escarabajo de ultimátum de catalización, สคารับคำขาด แห่งการเร่งปฏิกิริยา
Ultimatum Scarab of Dueling, Scarabée d'Ultimatum du Duel, Ultimatum-Skarabäus des Duellierens, 決闘のアルティメイタムスカラベ, Escaravelho do Ultimato do Duelo, Скарабей Ультиматума поединка, Escarabajo de ultimátum de duelo, สคารับคำขาด แห่งการประลอง
Ultimatum Scarab of Inscription, Scarabée d'Ultimatum de la Gravure, Ultimatum-Skarabäus der Inschrift, 刻印のアルティメイタムスカラベ, Escaravelho do Ultimato da Inscrição, Скарабей Ультиматума начертания, Escarabajo de ultimátum de inscripción, สคารับคำขาด แห่งการจารึก
Ultimatum Scarab, Scarabée d'Ultimatum, Ultimatum-Skarabäus , アルティメイタムスカラベ, Escaravelho do Ultimato, Скарабей Ультиматума, Escarabajo de ultimátum, สคารับคำขาด
Unrelenting Timeless Eternal Emblem, Emblème perpétuel de l'Empire éternel, Unerbittliches immerwährendes Emblem des Ewigen Kaiserreichs, とどまることのない時知らずのエターナルの徽章, Emblema Atemporal Eterno Implacável, Непримиримый вневременной знак Вечных, Emblema atemporal implacable eterno, ตราสัญลักษณ์นิรันดร์เหนือกาลเวลาไม่รู้สิ้น
Unrelenting Timeless Karui Emblem, Emblème perpétuel des Karuis, Unerbittliches immerwährendes Emblem der Karui, とどまることのない時知らずのカルイの徽章, Emblema Atemporal Karui Implacável, Непримиримый вневременной знак каруи, Emblema atemporal implacable karui, ตราสัญลักษณ์คารุยเหนือกาลเวลาไม่รู้สิ้น
Unrelenting Timeless Maraketh Emblem, Emblème perpétuel des Marakeths, Unerbittliches immerwährendes Emblem der Maraketh, とどまることのない時知らずのマラケスの徽章, Emblema Atemporal Maraketh Implacável, Непримиримый вневременной знак маракетов, Emblema atemporal implacable maraketh, ตราสัญลักษณ์มาราเค็ทเหนือกาลเวลาไม่รู้สิ้น
Unrelenting Timeless Templar Emblem, Emblème perpétuel des Templiers, Unerbittliches immerwährendes Emblem der Templer, とどまることのない時知らずのテンプラーの徽章, Emblema Atemporal Templário Implacável, Непримиримый вневременной знак храмовников, Emblema atemporal implacable templario, ตราสัญลักษณ์เทมพลาร์เหนือกาลเวลาไม่รู้สิ้น
Unrelenting Timeless Vaal Emblem, Emblème perpétuel des Vaal, Unerbittliches immerwährendes Emblem der Vaal, とどまることのない時知らずのヴァールの徽章, Emblema Atemporal Vaal Implacável, Непримиримый вневременной знак ваал, Emblema atemporal implacable vaal, ตราสัญลักษณ์วาล์เหนือกาลเวลาไม่รู้สิ้น
Unstable Catalyst, Catalyseur instable, Instabiler Katalysator, 不安定なカタリスト, Catalisador Instável, Нестабильный катализатор, Catalizador inestable, Unstable Catalyst
Uul-Netol's Breachstone, Pierre de Brèche d'Uul-Netol, Uul-Netols Riss-Stein, ウール・ネトルのブリーチストーン, Pedra da Fenda de Uul-Netol, Камень Разлома Уул-Нетол, Piedra de fisura de Uul-Netol, ศิลาบรีชแห่งอูล-เนโทล
Uul-Netol's Flawless Breachstone, Pierre de Brèche parfaite d'Uul-Netol, Uul-Netols makelloser Riss-Stein, ウール・ネトルの極限ブリーチストーン, Pedra de Fenda Impecável de Uul-Netol, Безупречный камень Разлома Уул-Нетол, Piedra de fisura perfecta de Uul-Netol, ศิลาบรีชไร้ที่ติแห่งอูล-เนโทล
Vaal Orb, Orbe vaal, Vaalsphäre, ヴァールオーブ, Orbe Vaal, Сфера ваал, Orbe vaal, Vaal Orb
Vaal Reliquary Key, Clé du Reliquaire vaal, Schlüssel zur Vaal-Reliquienkammer, ヴァールの聖廟の鍵, Chave do Relicário Vaal, Ключ от Реликвария ваал, Llave del Relicario vaal, กุญแจคลังวัตถุโบราณวาล์
Valdo's Puzzle Box, Casse-tête de Valdo, Valdos Rätselkiste, ヴァルドのパズルボックス, Quebra-Cabeças de Valdo, Куб загадок Валдо, Caja de puzles de Valdo, กล่องตัวต่อวาลโด
Veiled Orb, Orbe crypté, Verhüllte Sphäre, 秘匿のオーブ, Orbe Oculto, Скрытая сфера, Orbe encriptado, Veiled Orb
Veiled Scarab, Scarabée crypté, Verhüllter Skarabäus, 秘匿されたスカラベ, Escaravelho Oculto, Скрытый скарабей, Escarabajo encriptado, สคารับผนึก
Verdant Oil, Huile émeraude, Grünes Öl, 新緑色のオイル, Óleo Verdejante, Изумрудное масло, Aceite verde, Verdant Oil
Veritania's Crest, Insigne de Véritania, Wappen von Veritiana, ヴェリタニアの紋章, Coroa de Veritania, Герб Веритании, Emblema de Veritania, ตราของเวริทาเนีย
Violet Oil, Huile violette, Violettes Öl, スミレ色のオイル, Óleo Violeta, Фиолетовое масло, Aceite violeta, Violet Oil
Visceral Reliquary Key, Clé du Reliquaire viscérale, Schlüssel zur Viszeralen Reliquienkammer, 内臓の聖廟の鍵, Chave do Relicário Visceral, Ключ от Внутриутробного Реликвария, Llave del Relicario visceral, กุญแจคลังวัตถุโบราณเครื่องใน
Vivid Crystallised Lifeforce, Force vitale vivace cristallisée, Lebhafte kristallisierte Lebenskraft, 結晶化したビビッドライフフォース, Força Vital Cristalizada Vívida, Буйная кристализованная жизненная сила, Fuerza vital vívida cristalizada, ผลึกพลังแห่งชีวิตสดใส
Voidborn Reliquary Key, Clé du Reliquaire Néangendrée, Schlüssel zur Leerengeborener-Reliquienkammer, ヴォイドボーンの聖廟の鍵, Chave do Relicário Nascido do Vácuo, Ключ от Пустотного Реликвария, Llave del Relicario nacido del vacío, กุญแจคลังวัตถุโบราณห้วงว่าง
Wailing Essence of Anger, Essence gémissante de Colère, Klagende Essenz der Wut, 呻きのエッセンス（怒り）, Essência da Cólera Lamentante, Вопящая сущность злобы, Esencia lamentosa de rabia, Wailing Essence of Anger
Wailing Essence of Anguish, Essence gémissante d'Angoisse, Klagende Essenz der Qual, 呻きのエッセンス（苦悶）, Essência da Agonia Lamentante, Вопящая сущность горя, Esencia lamentosa de angustia, Wailing Essence of Anguish
Wailing Essence of Contempt, Essence gémissante de Dédain, Klagende Essenz der Verachtung, 呻きのエッセンス（侮蔑）, Essência da Desgraça Lamentante, Вопящая сущность презрения, Esencia lamentosa de desprecio, Wailing Essence of Contempt
Wailing Essence of Doubt, Essence gémissante d'Incertitude, Klagende Essenz des Zweifels, 呻きのエッセンス（疑心）, Essência da Hesitação Lamentante, Вопящая сущность сомнения, Esencia lamentosa de duda, Wailing Essence of Doubt
Wailing Essence of Fear, Essence gémissante de Peur, Klagende Essenz der Angst, 呻きのエッセンス（不安）, Essência do Medo Lamentante, Вопящая сущность страха, Esencia lamentosa de miedo, Wailing Essence of Fear
Wailing Essence of Greed, Essence gémissante d'Avarice, Klagende Essenz der Gier, 呻きのエッセンス（貪欲）, Essência da Ganância Lamentante, Вопящая сущность жадности, Esencia lamentosa de avaricia, Wailing Essence of Greed
Wailing Essence of Hatred, Essence gémissante de Haine, Klagende Essenz des Hasses, 呻きのエッセンス（憎悪）, Essência do Ódio Lamentante, Вопящая сущность ненависти, Esencia lamentosa de odio, Wailing Essence of Hatred
Wailing Essence of Loathing, Essence gémissante d'Aversion, Klagende Essenz der Abscheu, 呻きのエッセンス（嫌悪）, Essência da Repugnância Lamentante, Вопящая сущность отвращения, Esencia lamentosa de aversión, Wailing Essence of Loathing
Wailing Essence of Rage, Essence gémissante de Rage, Klagende Essenz der Rage, 呻きのエッセンス（激怒）, Essência da Raiva Lamentante, Вопящая сущность ярости, Esencia lamentosa de furia, Wailing Essence of Rage
Wailing Essence of Sorrow, Essence gémissante de Chagrin, Klagende Essenz der Trauer, 呻きのエッセンス（悲哀）, Essência da Mágoa Lamentante, Вопящая сущность печали, Esencia lamentosa de pena, Wailing Essence of Sorrow
Wailing Essence of Spite, Essence gémissante d'Acrimonie, Klagende Essenz der Bosheit, 呻きのエッセンス（悪意）, Essência do Rancor Lamentante, Вопящая сущность неприязни, Esencia lamentosa de rencor, Wailing Essence of Spite
Wailing Essence of Suffering, Essence gémissante de Souffrance, Klagende Essenz des Leids, 呻きのエッセンス（苦痛）, Essência do Sofrimento Lamentante, Вопящая сущность страдания, Esencia lamentosa de sufrimiento, Wailing Essence of Suffering
Wailing Essence of Torment, Essence gémissante de Tourment, Klagende Essenz der Folter, 呻きのエッセンス（苦悩）, Essência do Tormento Lamentante, Вопящая сущность мучения, Esencia lamentosa de tormento, Wailing Essence of Torment
Wailing Essence of Woe, Essence gémissante d'Affliction, Klagende Essenz des Kummers, 呻きのエッセンス（悲痛）, Essência da Angústia Lamentante, Вопящая сущность скорби, Esencia lamentosa de aflicción, Wailing Essence of Woe
Wailing Essence of Wrath, Essence gémissante de Fureur, Klagende Essenz des Zorns, 呻きのエッセンス（憤怒）, Essência da Ira Lamentante, Вопящая сущность гнева, Esencia lamentosa de ira, Wailing Essence of Wrath
Wailing Essence of Zeal, Essence gémissante de Zèle, Klagende Essenz des Eifers, 呻きのエッセンス（熱狂）, Essência do Zelo Lamentante, Вопящая сущность усердия, Esencia lamentosa de fervor, Wailing Essence of Zeal
War Rune, Rune de la Guerre, Kriegsrune, 戦のルーン, Runa Bélica, Руна Войны, Runa de guerra, อักขระสงคราม
